id,대분류,목적,방법,맥락,기술,결론,제목,출처,발행일,url,표,근거
"15","협업·프로세스","효율화","조직 설계, 디자인 시스템","채용, 사내 업무","","디자인과 구현의 경계를 없애기 위해 디자인 엔지니어라는 새 직군을 만들었다","우리는 왜 디자인 엔지니어를 찾게 됐을까","당근","2026-08-17","https://seed-design.io/updates/why-we-hired-a-design-engineer","협업·프로세스 3","한 사람이 문제를 인식하고, 개선 방향을 정하고, 직접 구현해서, 배포까지 끌고 갈 수 있다면 그 간극은 애초에 생기지 않아요."
"19","품질·위험 관리","품질","AI 평가, 리스크 관리","금융","LLM, 에이전트","고객에게 나가는 AI 투자정보는 자율성을 통제하는 세 관문으로 품질과 리스크를 관리해야 한다","AI에게 투자정보를 말하게 하기까지","토스","2026-08-13","https://toss.tech/article/tech_talk_talk_1","품질·위험 관리 3","투자 정보 서비스에서 이 넓은 액션 스페이스를 그대로 열어두기에는 비용과 리스크가 큽니다."
"21","제품·서비스 기획","사용성","디자인 시스템, 화면·흐름 설계","모바일","","당근은 선택·확인·탐색 흐름에서 반복되는 상호작용을 일관되게 만들기 위해 디자인 시스템 SEED에 새 구성 요소 여섯 가지를 추가했다.","선택하고, 확인하고, 탐색하는 경험을 더 쉽게","당근","2026-08-12","https://seed-design.io/updates/pickers-dialog-select","제품·서비스 기획 3","서비스마다 같은 문제를 따로 풀지 않고 더 일관된 경험을 만들 수 있도록, SEED에 여섯 가지 구성 요소를 새로 더했어요."
"38","데이터·실험","효율화","실험 플랫폼, 지표 설계","사내 업무","LLM","실험이 늘며 생긴 병목과 간섭을 지표 UI화·상호배제 그룹·MCP로 풀어 실험 사이클을 줄였다","실험을 더 편하게 설계할 수 있게: 당근 실험플랫폼 이야기","당근","2026-08-04","https://medium.com/daangn/%EC%8B%A4%ED%97%98%EC%9D%84-%EB%8D%94-%ED%8E%B8%ED%95%98%EA%B2%8C-%EC%84%A4%EA%B3%84%ED%95%A0-%EC%88%98-%EC%9E%88%EA%B2%8C-%EB%8B%B9%EA%B7%BC-%EC%8B%A4%ED%97%98%ED%94%8C%EB%9E%AB%ED%8F%BC-%EC%9D%B4%EC%95%BC%EA%B8%B0-3fa344b4391b","데이터·실험 3","실험을 가설 검증의 도구로 쓰려면 빠른 반복이 핵심인데, 그 사이클이 한 단계 짧아진 셈이에요."
"46","AI 활용","효율화","업무 자동화, 문제 정의","사내 업무","에이전트, LLM","수작업으로 대응하던 운영 문의 채널을 Knowledge·Code·DB 3-에이전트 AI 시스템으로 대체해 대응 공백을 줄였다","A1Mobilsoft의 운영 문의 자동화 여정 (1): 문제 정의와 3-에이전트 아키텍처 설계","AWS","2026-07-31","https://aws.amazon.com/ko/blogs/tech/a1mobilsoft-ops-automation-1/","AI 활용 3","이 글은 그동안 사람이 일일이 대응하던 #운영개발문의 채널을 Amazon Bedrock 기반의 Knowledge·Code·DB 세 에이전트 시스템으로 대체하기까지의 여정을 담았습니다."
"50","AI 활용","품질","AI 평가, 업무 자동화","사내 업무","RAG, 임베딩","토스는 LLM이 사내 일을 알 수 있도록, 문서·코드·메신저를 공통 단위로 추출하고 관계와 최신성·충돌까지 관리하는 컨텍스트 계층 Topic을 만들고 있다.","LLM은 똑똑한데, 왜 우리 회사 일은 모를까","토스","2026-07-30","https://toss.tech/article/llm_context_topic","AI 활용 3","이 문제를 해결하기 위해 만들고 있는 시스템이 Topic이에요."
"54","AI 활용","품질","해커톤, 문제 정의","사내 업무","LLM","AI로 재무 업무를 바꾸며 AI에게 맡길 일과 맡기지 않을 일을 구분하는 것이 핵심이었다","[AI 해커톤 후기] AI 해커톤 1위 팀이 AI에게 맡기지 않은 것","네이버 D2","2026-07-24","https://d2.naver.com/helloworld/4821538","AI 활용 3","저희는 무엇이 성공인지 먼저 정의하고, 그 기준으로 결과를 계속 검증하는 데 AI를 사용했습니다."
"55","사용자 이해·경험","사용성","문제 정의, 장애 대응","결제, 오프라인 매장","","기존 POS 결제 구조를 재설계해 결제 속도를 52% 줄이고 매장 결제 경험을 개선했다","고객의 1초를 줄이기 위해, POS 결제 구조를 다시 설계하다","올리브영","2026-07-24","https://oliveyoung.tech/2026-07-24/offline-payment-upgrade-phase1/","사용자 이해·경험 3","카드 결제 요청부터 승인 완료까지 주요 처리 구간을 기준으로 배포 전후를 비교한 결과, 결제 속도는 약 52% 단축됐습니다."
"57","협업·프로세스","효율화","조직 설계, 문서화","사내 업무","LLM","프론트엔드와 백엔드 팀을 합쳐도 속도는 유지됐고 조율·대기 비용이 줄었다","프론트엔드와 백엔드를 한 팀으로 합치면 어떤 일이 일어날까?","당근","2026-07-23","https://medium.com/daangn/%ED%94%84%EB%A1%A0%ED%8A%B8%EC%97%94%EB%93%9C%EC%99%80-%EB%B0%B1%EC%97%94%EB%93%9C%EB%A5%BC-%ED%95%9C-%ED%8C%80%EC%9C%BC%EB%A1%9C-%ED%95%A9%EC%B9%98%EB%A9%B4-%EC%96%B4%EB%96%A4-%EC%9D%BC%EC%9D%B4-%EC%9D%BC%EC%96%B4%EB%82%A0%EA%B9%8C-f8b32edb2eb1","협업·프로세스 3","그렇게 지난 4월, 저희 팀은 백엔드 엔지니어 4명과 프론트엔드 엔지니어 4명, 직군이 다른 두 팀을 하나로 합쳤어요."
"63","제품·서비스 기획","수익화","유저 세그먼트, 캠페인","알림, 커머스","","데이터를 매출로 잇기 위해 도메인을 가로지르는 의사결정 레이어 MATCH를 새로 구축했다","MATCH란 무엇인가","무신사","2026-07-14","https://techblog.musinsa.com/match%EB%9E%80-%EB%AC%B4%EC%97%87%EC%9D%B8%EA%B0%80-5776910908af","제품·서비스 기획 3","이것이 무신사가 단순히 정보를 모아두는 허브를 넘어, 비즈니스 의사결정 레이어로서의 MATCH(Musinsa Audience Targeting & Customer Hub)를 구축한 이유입니다."
